Company Name,Symbol,Share Volume,Trade Volume,Previous Close (Rs.),Open (Rs.),High (Rs.),Low (Rs.),**Last Trade (Rs.),Change (Rs.),Change (%)
ABANS ELECTRICALS PLC,ABAN.N0000,12,4,1172.25,1172.5,1190,1172.25,1190,17.75,1.51
ABANS FINANCE PLC,AFSL.N0000,277,2,95.3,95.1,95.6,95.1,95.6,0.3,0.31
ACCESS ENGINEERING PLC,AEL.N0000,54267,98,78.6,77.5,78.2,77.1,77.2,-1.4,-1.78
ACL CABLES PLC,ACL.N0000,437495,88,100.75,101,101,100,100.5,-0.25,-0.25
ACL PLASTICS PLC,APLA.N0000,1287,28,154,156.25,156.25,153,154,0,0.00
ACME PRINTING & PACKAGING PLC,ACME.N0000,43791,36,5.3,5.3,5.4,5.2,5.2,-0.1,-1.89
AGALAWATTE  PLANTATIONS  PLC,AGAL.N0000,1497,15,54.5,53.6,54.5,53.6,53.7,-0.8,-1.47
Agarapatana Plantations PLC,AGPL.N0000,1599,6,16.7,17.2,17.2,16.7,16.9,0.2,1.20
AGSTAR PLC,AGST.N0000,17611,18,12.2,12.4,12.4,12,12.1,-0.1,-0.82
AGSTAR PLC,AGST.X0000,5346,24,11.6,12.4,12.6,12.4,12.5,0.9,7.76
AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,9239,30,94.2,95.3,95.3,93.9,94,-0.2,-0.21
AITKEN SPENCE PLC,SPEN.N0000,3106,26,157.5,159,159,156,157.25,-0.25,-0.16
ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,8319,86,335.5,336,338,330,333,-2.5,-0.75
ALPHA FIRE SERVICES PLC,AFS.N0000,14860,14,29.9,31.4,31.4,30,30,0.1,0.33
ALUMEX PLC,ALUM.N0000,107183,102,18,18.1,18.4,18,18,0,0.00
AMANA BANK PLC,ABL.N0000,23690,33,26.5,26.7,26.8,26.5,26.7,0.2,0.75
AMANA TAKAFUL LIFE PLC,ATLL.N0000,70,3,24.5,24,24,24,24,-0.5,-2.04
AMANA TAKAFUL PLC,ATL.N0000,3694,12,21.8,21.8,21.9,21.6,21.8,0,0.00
AMBEON CAPITAL PLC,TAP.N0000,418093,29,32.6,32.6,33,32.5,32.8,0.2,0.61
AMBEON HOLDINGS PLC,GREG.N0000,327,8,40,40.8,40.8,38.9,40.5,0.5,1.25
ARPICO INSURANCE PLC,AINS.N0000,120,6,29.5,29.9,29.9,29,29,-0.5,-1.69
ASIA ASSET FINANCE PLC,AAF.N0000,16580,27,59.8,59.9,60,59,59.5,-0.3,-0.50
ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,1224175,75,13.9,14,14.1,13.8,13.8,-0.1,-0.72
ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,23279,50,53,52.5,53.5,51,53.5,0.5,0.94
ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,30059,22,38.2,38.5,38.5,36.8,36.8,-1.4,-3.66
